0,33,141733920768,1498
0,33,141733920769,1
1,33,141733920768,1850
1,33,141733920769,19
2,33,141733920768,81
2,33,141733920769,0
3,33,141733920768,109
3,33,141733920769,0
4,33,141733920768,2149
5,33,141733920768,692
5,33,141733920769,1
6,33,141733920768,297
6,33,141733920769,1
7,33,141733920768,50
8,33,141733920768,11
9,33,141733920768,1
0,35,150323855360,750
0,35,150323855362,1
0,35,150323855361,1
1,35,150323855360,1743
1,35,150323855362,46
1,35,150323855361,19
2,35,150323855360,131
2,35,150323855362,0
2,35,150323855361,0
3,35,150323855360,74
3,35,150323855362,0
3,35,150323855361,0
4,35,150323855360,1316
5,35,150323855360,1072
5,35,150323855362,1
5,35,150323855361,1
6,35,150323855360,243
6,35,150323855361,0
7,35,150323855360,161
7,35,150323855362,1
8,35,150323855360,9
9,35,150323855360,0
0,6,25769803776,2239
1,6,25769803776,1797
2,6,25769803776,108
3,6,25769803776,107
4,6,25769803776,2243
5,6,25769803776,2491
6,6,25769803776,1054
7,6,25769803776,134
8,6,25769803776,23
9,6,25769803776,1
0,39,167503724544,4
0,39,167503724545,1550
1,39,167503724544,75
1,39,167503724545,1719
2,39,167503724544,1
2,39,167503724545,100
3,39,167503724544,1
3,39,167503724545,107
4,39,167503724545,2499
5,39,167503724544,2
5,39,167503724545,1436
6,39,167503724544,2
6,39,167503724545,728
7,39,167503724545,95
8,39,167503724545,12
9,39,167503724545,2
0,18,77309411328,2938
1,18,77309411328,1829
2,18,77309411328,115
3,18,77309411328,118
4,18,77309411328,2578
5,18,77309411328,2916
6,18,77309411328,578
7,18,77309411328,123
8,18,77309411328,18
9,18,77309411328,1
0,12,51539607552,4
0,12,51539607553,6337
1,12,51539607552,90
1,12,51539607553,1829
2,12,51539607552,2
2,12,51539607553,168
3,12,51539607552,1
3,12,51539607553,166
4,12,51539607553,3781
5,12,51539607552,2
5,12,51539607553,3304
6,12,51539607553,1270
7,12,51539607552,1
7,12,51539607553,170
8,12,51539607553,20
9,12,51539607553,2
0,30,128849018880,1283
1,30,128849018880,1738
2,30,128849018880,73
3,30,128849018880,78
4,30,128849018880,1978
5,30,128849018880,684
6,30,128849018880,246
7,30,128849018880,60
8,30,128849018880,9
9,30,128849018880,1
0,4,17179869184,4
0,4,17179869185,5049
1,4,17179869184,79
1,4,17179869185,1663
2,4,17179869184,2
2,4,17179869185,219
3,4,17179869184,1
3,4,17179869185,134
4,4,17179869185,2865
5,4,17179869184,2
5,4,17179869185,2097
6,4,17179869184,3
6,4,17179869185,942
7,4,17179869185,129
8,4,17179869184,2
8,4,17179869185,16
9,4,17179869185,2
0,28,120259084288,2549
1,28,120259084288,1824
2,28,120259084288,84
3,28,120259084288,104
4,28,120259084288,2480
5,28,120259084288,2236
6,28,120259084288,342
7,28,120259084288,100
8,28,120259084288,9
9,28,120259084288,1
0,7,30064771072,2395
1,7,30064771072,1708
2,7,30064771072,119
3,7,30064771072,107
4,7,30064771072,2343
5,7,30064771072,2316
6,7,30064771072,707
7,7,30064771072,113
8,7,30064771072,17
9,7,30064771072,1
0,2,8589934592,4583
0,2,8589934593,10
1,2,8589934592,1869
1,2,8589934593,32
2,2,8589934592,132
2,2,8589934593,0
3,2,8589934592,125
3,2,8589934593,0
4,2,8589934592,2699
5,2,8589934592,2259
5,2,8589934593,1
6,2,8589934592,1047
7,2,8589934592,123
7,2,8589934593,0
8,2,8589934592,20
9,2,8589934592,1
0,38,163208757248,1459
0,38,163208757249,2
1,38,163208757248,1729
1,38,163208757249,19
2,38,163208757248,108
2,38,163208757249,0
3,38,163208757248,105
3,38,163208757249,0
4,38,163208757248,2249
5,38,163208757248,1931
5,38,163208757249,1
6,38,163208757248,386
7,38,163208757248,80
8,38,163208757248,8
9,38,163208757248,2
0,14,60129542144,4632
1,14,60129542144,1519
2,14,60129542144,109
3,14,60129542144,124
4,14,60129542144,5873
5,14,60129542144,4704
6,14,60129542144,648
7,14,60129542144,54
8,14,60129542144,13
9,14,60129542144,0
0,11,47244640256,5077
1,11,47244640256,1787
2,11,47244640256,134
3,11,47244640256,125
4,11,47244640256,3090
5,11,47244640256,3173
6,11,47244640256,1010
7,11,47244640256,132
8,11,47244640256,22
9,11,47244640256,1
0,34,146028888064,4
0,34,146028888065,4636
1,34,146028888064,83
1,34,146028888065,1792
2,34,146028888064,1
2,34,146028888065,132
3,34,146028888064,1
3,34,146028888065,124
4,34,146028888065,2395
5,34,146028888064,2
